"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"851","@lily_marston omg I saw you on #hairspraylive!!!",FALSE,1,"lily_marston",2016-12-10 20:32:09,FALSE,NA,"807684350217109504","39644856","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlisaSilvestre",0,FALSE,FALSE,NA,NA
"852","RT @ArianaGrande: Tonight is the night #hairspraylive 8/7c on nbc ‚ô° Ì†ΩÌ≥∫I'm so proud of my friends and of everyone‚Ä¶ https://t.co/SRHJojSMcM",FALSE,0,NA,2016-12-10 20:32:05,FALSE,NA,"807684330940198912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","niallpabellon",9268,TRUE,FALSE,NA,NA
"853","RT @HairsprayLive: Give it up for our amazing #HairsprayLive cast! ‚ú® https://t.co/jiReh653AC",FALSE,0,NA,2016-12-10 20:31:49,FALSE,NA,"807684264942669825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HAnahyhernandez",104,TRUE,FALSE,NA,NA
"854","Watching #hairspraylive https://t.co/QLDqeWRqS5",FALSE,0,NA,2016-12-10 20:31:48,FALSE,NA,"807684259037253632",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Rachy_EJ",0,FALSE,FALSE,NA,NA
"855","RT @charlie__watson: RIP - Noreen, Doreen (2007) xx #HairsprayLive https://t.co/tM8xgr72CE",FALSE,0,NA,2016-12-10 20:31:32,FALSE,NA,"807684193190899713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jesslittlemix_",177,TRUE,FALSE,NA,NA
"856","Watching #HairsprayLive from my DVR. So good!!!",FALSE,0,NA,2016-12-10 20:31:17,FALSE,NA,"807684131542929408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Lochbra",0,FALSE,FALSE,NA,NA
"857","RT @mwilliampanek: ""My birthday!"" Formally putting my hat in the ring as @DoveCameron's Emmy Award nomination representative. #hairspraylive",FALSE,0,NA,2016-12-10 20:31:05,FALSE,NA,"807684080896720897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","infinitesposito",81,TRUE,FALSE,NA,NA
"858","RT @broadwaycom: That ""Mama, I'm A Big Girl Now‚Äù left us SHOOK #HairsprayLive https://t.co/2lQeGb0lmi",FALSE,0,NA,2016-12-10 20:31:04,FALSE,NA,"807684074919907328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","infinitesposito",589,TRUE,FALSE,NA,NA
"859","RT @LouisPeitzman: I've never enjoyed ""Cooties"" more. All hail your new queen Dove Cameron. #HairsprayLive",FALSE,0,NA,2016-12-10 20:30:59,FALSE,NA,"807684054036414465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","infinitesposito",140,TRUE,FALSE,NA,NA
"860","RT @ephsykes: Missin my #hairspraylive fam so I'm bout to flood y'all tl's with memories...sorryÌ†ΩÌ∏¨ @ Universal‚Ä¶ https://t.co/Eo8KXeV6jX",FALSE,0,NA,2016-12-10 20:30:57,FALSE,NA,"807684048298659840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HamiltonLover29",14,TRUE,FALSE,NA,NA
